freeLength [mm],100
mass [g],1000
time [us],distance [mm]
34756,345
66908,346
105804,338
154684,340
203564,340
252444,334
301324,328
350204,328
399084,336
447964,336
496844,339
545724,332
594604,322
643484,331
692364,330
741244,338
790124,360
839004,338
887884,317
936764,282
985644,260
1034524,213
1084444,192
1134364,149
1184284,111
1234204,95
1283084,66
1331964,54
1380844,43
1429724,43
1478604,47
1527484,54
1576364,65
1625244,73
1674124,78
1723004,81
1771884,84
1820764,80
1869644,79
1918524,80
1967404,77
2016284,73
2065164,74
2114044,70
2162924,70
2211804,67
2260684,66
2309564,66
2358444,65
2407324,63
2456204,65
2505084,67
2553964,66
2602844,66
2651724,68
2700604,69
2749484,66
2798364,67
2847244,66
2896124,66
2945008,65
2993884,68
3042764,67
3091644,66
3140524,66
3189404,65
3238284,66
3287164,63
3336044,64
3384924,65
3433804,65
3482684,68
3531564,67
3580444,64
3629324,64
3678204,67
3727084,65
3775964,65
3824844,63
3873724,65
3922604,65
3971484,63
4020364,69
4069244,66
4118124,66
4167004,66
4215884,64
4264764,65
4313644,66
4362524,64
4411404,64
4460284,66
4509164,69
4558044,66
4606924,68
4655804,65
4704684,68
4753564,67
4802444,68
4851324,65
4900204,66
4949084,66
4997964,66
